,ID,ACTIVITY,GOOD,SUFFICIENT
3502,5001887,1,1,0
3504,5001888,1,0,0
3559,5001889,1,0,1
3600,5001890,1,1,0
3625,5001891,1,1,0
3677,5001892,1,1,0
3732,5001893,1,0,1
3747,5001894,1,0,1
3798,5001895,1,1,0
3832,5001896,1,1,0
3848,5001897,1,0,1
3852,5001898,1,1,0
3879,5001899,1,0,1
3921,5001900,1,1,0
3977,5001901,1,1,0
4020,5001902,1,0,1
4024,5001904,1,1,0
4075,5001905,1,1,0
4131,5001906,1,1,0
4182,5001907,1,0,1
4187,5001908,1,1,0
4188,5001909,1,1,0
4189,5001910,1,1,0
4192,5001911,1,1,0
4197,5001912,1,1,0
4203,5001913,1,1,0
4214,5001914,1,1,0
4226,5001915,1,0,1
4237,5001916,1,0,1
4248,5001917,1,0,1
4259,5001918,1,1,0
4274,5001919,1,1,0
4294,5001920,1,0,1
4310,5001921,1,1,0
4330,5001922,1,1,0
4366,5001923,1,1,0
4414,5001924,1,1,0
4417,5001925,1,1,0
4420,5001926,1,0,1
4428,5001927,1,0,1
4475,5001931,1,0,1
4487,5001932,1,0,1
4518,5001933,1,1,0
4547,5001936,1,1,0
4588,5001940,1,1,0
4619,5001941,1,1,0
4679,5001942,1,1,0
4734,5001943,1,1,0
4791,5001944,1,0,1
4815,5001945,1,0,1
4826,5001946,1,0,1
4850,5001947,1,1,0
4888,5001948,1,0,1
4947,5001949,1,1,0
4969,5001950,1,1,0
4980,5001951,1,0,1
5002,5001952,1,1,0
5019,5001953,1,1,0
5036,5001954,1,1,0
5072,5001956,1,1,0
5087,5001957,1,0,1
5104,5001958,1,1,0
5159,5001959,1,0,1
5197,5001960,1,0,1
5228,5001961,1,0,1
5240,5001962,1,0,1
5252,5001963,1,0,1
5264,5001964,1,0,1
5280,5001965,1,1,0
5318,5001966,1,1,0
5366,5001967,1,1,0
5400,5001968,1,1,0
5422,5001970,1,0,1
5456,5001976,1,1,0
5495,5001982,1,1,0
5553,5001983,1,0,1
5604,5001986,1,1,0
5657,5001987,1,1,0
5709,5001988,1,1,0
5762,5001989,1,0,1
5814,5001990,1,1,0
5866,5001991,1,1,0
5906,5001993,1,1,0
5934,5001994,1,1,0
5962,5001995,1,1,0
5996,5001996,0,1,0
6030,5001997,1,1,0
6085,5001998,1,0,1
6106,5001999,1,1,0
6131,5002000,1,1,0
6161,5002001,1,1,0
6218,5002002,1,0,1
6240,5002003,1,1,0
6290,5002004,1,1,0
6327,5002005,1,1,0
6360,5002006,1,1,0
6386,5002007,1,1,0
6409,5002008,1,1,0
6444,5002009,1,1,0
6495,5002010,1,0,1
6509,5002011,1,0,1
6534,5002012,1,1,0
6559,5002013,1,1,0
6591,5002015,1,0,1
6626,5002016,1,1,0
6639,5002018,1,1,0
6647,5002019,1,1,0
6701,5002020,1,1,0
6739,5002021,1,1,0
6754,5002022,1,1,0
6777,5002023,1,0,1
6799,5002024,1,0,1
6811,5002025,1,1,0
6823,5002026,1,0,1
6877,5002028,1,1,0
6927,5002029,1,0,1
6937,5002030,1,0,1
6947,5002031,1,1,0
6988,5002032,1,1,0
7028,5002033,1,1,0
7079,5002034,1,1,0
7137,5002035,1,1,0
7188,5002037,1,0,1
7202,5002038,1,0,1
7216,5002039,1,0,1
7225,5002041,0,1,0
7247,5002042,1,1,0
7297,5002043,1,0,1
7320,5002044,1,0,1
7343,5002046,1,1,0
7380,5002047,1,1,0
7429,5002048,1,1,0
7453,5002049,1,1,0
7479,5002050,1,0,1
7509,5002052,1,1,0
7525,5002053,0,1,0
7552,5002054,1,1,0
7583,5002055,1,1,0
7628,5002057,1,1,0
7655,5002058,1,1,0
7715,5002059,1,0,1
7760,5002060,1,1,0
7815,5002061,1,0,0
7836,5002062,1,0,1
7847,5002068,1,1,0
7887,5002069,1,1,0
7915,5002070,1,0,1
7927,5002071,1,0,1
7936,5002072,1,1,0
7953,5002073,1,1,0
7987,5002076,1,1,0
7998,5002077,1,0,1
8006,5002078,1,0,1
8031,5002079,1,0,1
8047,5002080,1,0,1
8057,5002081,1,0,1
8068,5002082,1,0,1
8079,5002083,1,1,0
8099,5002084,1,0,1
8113,5002085,1,1,0
8148,5002087,1,1,0
8168,5002088,1,1,0
8204,5002091,1,1,0
8253,5002094,1,0,1
8286,5002096,1,1,0
8328,5002097,1,1,0
8380,5002098,1,0,1
8423,5002101,1,1,0
8467,5002104,1,1,0
8508,5002105,1,1,0
8544,5002106,1,1,0
8556,5002107,1,1,0
8587,5002108,1,1,0
8643,5002109,1,1,0
8656,5002110,1,0,1
8662,5002111,1,0,1
8670,5002112,1,1,0
8689,5002113,1,1,0
8706,5002114,1,1,0
8723,5002115,1,1,0
8746,5002116,1,1,0
8787,5002118,1,0,1
8795,5002120,1,1,0
8822,5002121,1,0,0
8840,5002123,1,0,1
8861,5002124,1,0,1
8865,5002126,1,1,0
8921,5002128,1,1,0
8955,5002130,1,0,1
8990,5002131,1,0,1
9039,5002134,1,1,0
9083,5002135,1,1,0
9093,5002138,1,1,0
9137,5002140,1,1,0
9194,5002141,1,1,0
9217,5002142,1,0,1
9253,5002144,1,1,0
9270,5002145,1,0,1
9293,5002146,1,1,0
9316,5002147,1,1,0
9366,5002148,1,0,1
9375,5002149,1,1,0
9401,5002150,1,1,0
9437,5002151,1,1,0
9462,5002152,1,1,0
9484,5002153,1,1,0
9509,5002154,1,0,1
9524,5002155,1,1,0
9575,5002156,1,1,0
9632,5002157,1,0,1
9641,5002158,1,1,0
9696,5002160,1,0,1
9757,5002161,1,1,0
9770,5002162,1,1,0
9788,5002163,1,1,0
9809,5002164,1,1,0
9869,5002165,1,0,1
9930,5002168,1,0,1
9952,5002169,1,1,0
9955,5002170,0,0,1
9976,5002171,1,1,0
10037,5002175,1,1,0
10086,5002176,1,1,0
10127,5002177,1,1,0
10168,5002178,1,1,0
10209,5002179,1,1,0
10250,5002181,1,0,1
10295,5002182,1,0,1
10332,5002183,1,0,1
10372,5002186,1,0,1
10391,5002189,1,1,0
10398,5002190,1,0,1
10405,5002191,1,1,0
10430,5002192,1,0,1
10467,5002194,1,0,1
10493,5002196,1,0,1
10508,5002197,1,0,1
10512,5002198,0,1,0
10531,5002199,1,1,0
10562,5002200,1,1,0
10605,5002201,1,1,0
10660,5002202,1,1,0
10720,5002203,0,0,1
10765,5002204,1,0,1
10772,5002205,1,0,1
10779,5002206,1,1,0
10810,5002207,1,0,1
10825,5002208,1,1,0
10865,5002209,1,0,1
10875,5002216,1,0,1
10887,5002217,1,0,1
10915,5002218,1,1,0
10939,5002219,1,1,0
10975,5002220,1,1,0
11007,5002221,1,1,0
11044,5002222,1,1,0
11057,5002223,1,1,0
11100,5002224,1,1,0
11140,5002225,1,0,0
11151,5002226,1,1,0
11160,5002227,1,1,0
11170,5002228,1,1,0
11217,5002229,1,1,0
11238,5002230,1,0,1
11261,5002231,1,1,0
11297,5002232,1,0,0
11310,5002233,1,0,1
11340,5002234,1,1,0
11364,5002235,0,1,0
11385,5002236,1,0,1
11405,5002237,1,0,1
11416,5002238,1,1,0
11465,5002239,1,1,0
11521,5002241,1,0,1
11525,5002242,1,1,0
11531,5002243,1,1,0
11562,5002244,1,1,0
11583,5002245,1,0,1
11593,5002246,1,1,0
11638,5002247,1,1,0
11670,5002248,1,0,1
11689,5002249,1,0,1
11697,5002250,1,0,1
11714,5002251,1,1,0
11738,5002253,1,0,0
11750,5002254,1,0,0
11774,5002255,1,0,0
11812,5002256,1,1,0
11834,5002257,1,1,0
11884,5002258,1,1,0
11944,5002259,1,1,0
12004,5002260,1,1,0
12022,5002262,1,1,0
12035,5002263,1,0,1
12039,5002264,1,1,0
12071,5002265,1,0,1
12083,5002266,1,1,0
12096,5002267,1,1,0
12124,5002268,1,1,0
12126,5002270,1,0,1
12135,5002271,1,1,0
12144,5002273,0,1,0
12155,5002274,0,0,1
12170,5002275,0,0,1
12177,5002276,0,0,1
12189,5002277,0,0,1
12204,5002278,0,0,1
12239,5002279,0,1,0
12274,5002280,0,1,0
12322,5002283,1,1,0
12383,5002285,1,1,0
12385,5002286,1,1,0
12407,5002287,1,1,0
12468,5002289,1,1,0
12480,5002291,1,0,1
12502,5002292,1,0,1
12548,5002293,1,0,1
12556,5002294,1,0,0
12561,5002296,1,1,0
12600,5002297,1,1,0
12648,5002298,1,1,0
12681,5002299,1,1,0
12721,5002300,1,1,0
12745,5002301,1,0,1
12764,5002302,1,0,1
12793,5002303,1,0,0
12815,5002304,1,1,0
12870,5002305,1,1,0
12922,5002306,1,1,0
12939,5002309,1,1,0
12995,5002310,1,0,1
13027,5002311,1,0,1
13060,5002312,1,1,0
13063,5002313,1,0,1
13092,5002314,1,1,0
13141,5002315,1,1,0
13166,5002316,1,1,0
13202,5002317,1,1,0
13240,5002318,0,1,0
13263,5002319,1,1,0
13303,5002320,1,1,0
13328,5002321,1,1,0
13372,5002322,1,1,0
13374,5002323,1,1,0
13407,5002324,0,0,1
13419,5002325,0,1,0
13442,5002326,1,1,0
13472,5002330,1,1,0
13503,5002331,1,1,0
13513,5002332,1,0,1
13527,5002333,1,1,0
13545,5002335,1,1,0
13600,5002336,1,1,0
13630,5002337,1,1,0
13652,5002338,1,1,0
13702,5002339,1,1,0
13728,5002340,1,1,0
13776,5002341,1,1,0
13812,5002342,1,0,1
13820,5002343,1,1,0
13828,5002344,1,0,1
13845,5002345,1,0,1
13869,5002346,1,1,0
13895,5002347,1,1,0
13938,5002348,1,1,0
13950,5002349,1,0,1
13987,5002350,1,0,1
13999,5002351,1,1,0
14031,5002352,1,1,0
14051,5002353,1,1,0
14087,5002354,1,1,0
14124,5002355,1,0,1
14135,5002356,1,0,1
14186,5002360,1,0,1
14201,5002363,0,1,0
14207,5002364,0,1,0
14215,5002365,1,0,1
14220,5002368,1,0,1
14232,5002369,1,1,0
14256,5002370,1,0,0
14280,5002373,1,1,0
14326,5002374,1,1,0
14365,5002375,1,0,1
14394,5002376,1,1,0
14441,5002377,1,1,0
14462,5002378,1,1,0
14483,5002380,1,1,0
14540,5002381,1,1,0
14569,5002383,1,1,0
14603,5002384,1,1,0
14656,5002385,1,1,0
14715,5002386,1,1,0
14725,5002387,1,1,0
14735,5002388,1,1,0
14745,5002390,1,1,0
14766,5002391,1,1,0
14787,5002392,1,1,0
14829,5002394,1,1,0
14854,5002395,1,1,0
14907,5002396,1,1,0
14909,5002397,1,0,1
14917,5002398,1,0,1
14969,5002399,1,0,1
14983,5002402,1,0,1
14991,5002403,1,0,1
15008,5002404,1,0,1
15027,5002405,1,1,0
15046,5002408,1,1,0
15055,5002409,1,0,1
15068,5002410,1,0,1
15081,5002411,1,1,0
15104,5002412,1,1,0
15135,5002413,1,0,0
15180,5002418,1,1,0
15232,5002420,1,0,1
15259,5002421,1,0,0
15269,5002422,1,0,1
15277,5002424,1,1,0
15291,5002425,1,1,0
15313,5002426,1,1,0
15338,5002427,1,1,0
15365,5002428,1,1,0
15403,5002429,1,0,1
15427,5002430,1,0,1
15445,5002431,1,0,0
15463,5002432,1,1,0
15505,5002433,1,1,0
15543,5002434,1,0,1
15568,5002435,1,0,1
15590,5002436,1,1,0
15619,5002437,1,0,1
15623,5002438,1,0,1
15634,5002439,1,1,0
15648,5002441,1,0,1
15681,5002443,1,0,1
15692,5002444,1,0,1
15702,5002445,1,0,1
15711,5002446,1,0,1
15731,5002447,1,0,1
15751,5002448,1,0,1
15787,5002449,1,0,1
15825,5002450,1,1,0
15880,5002453,1,1,0
15918,5002454,1,1,0
15956,5002455,1,0,1
15992,5002456,1,1,0
16052,5002457,1,0,1
16076,5002458,1,0,1
16099,5002459,1,0,1
16122,5002460,1,1,0
16135,5002462,1,1,0
16173,5002465,1,1,0
16234,5002467,1,0,1
16269,5002469,1,1,0
16298,5002471,0,1,0
16309,5002472,1,1,0
16340,5002474,1,1,0
16393,5002475,1,0,1
16405,5002476,1,0,1
16409,5002477,1,0,1
16420,5002479,1,1,0
16441,5002480,1,1,0
16443,5002481,1,0,1
16451,5002482,1,1,0
16508,5002483,1,1,0
16565,5002484,1,1,0
16607,5002485,1,0,1
16660,5002486,1,0,1
16677,5002487,1,0,1
16708,5002488,1,1,0
16763,5002489,1,0,1
16806,5002490,1,1,0
16854,5002491,1,0,1
16893,5002492,1,1,0
16933,5002495,1,1,0
16955,5002496,1,1,0
16974,5002497,1,1,0
16996,5002501,1,1,0
17042,5002502,1,1,0
17101,5002505,1,0,1
17111,5002507,1,0,1
17154,5002508,1,0,1
17171,5002509,1,0,1
17185,5002510,1,1,0
17223,5002511,1,1,0
17247,5002512,1,0,1
17263,5002514,1,1,0
17312,5002515,1,1,0
17372,5002518,1,1,0
17398,5002519,1,1,0
17431,5002520,1,0,1
17467,5002521,1,0,1
17486,5002523,1,1,0
17547,5002524,1,1,0
17580,5002525,1,1,0
17601,5002526,1,1,0
17628,5002527,1,0,1
17657,5002528,1,1,0
17681,5002529,0,1,0
17708,5002533,1,0,1
17731,5002534,1,0,1
17740,5002537,1,0,0
17750,5002538,1,0,1
17777,5002539,1,0,1
17800,5002540,1,0,1
17833,5002541,1,1,0
17876,5002543,1,1,0
17917,5002544,1,0,1
17948,5002545,1,0,0
17966,5002547,1,0,1
17981,5002548,1,0,1
17996,5002549,1,1,0
18026,5002550,1,1,0
18068,5002551,1,0,1
18089,5002554,1,1,0
18137,5002555,1,0,1
18178,5002556,1,0,1
18215,5002557,1,0,1
18236,5002558,1,0,1
18272,5002559,1,0,1
18286,5002560,1,1,0
18334,5002562,1,1,0
18365,5002563,1,1,0
18392,5002564,1,1,0
18423,5002565,1,1,0
18467,5002566,1,1,0
18522,5002567,1,1,0
18578,5002568,1,0,0
18591,5002570,1,1,0
18640,5002571,1,1,0
18675,5002572,1,1,0
18715,5002573,1,1,0
18727,5002574,1,0,1
18739,5002575,1,0,0
18760,5002576,1,1,0
18762,5002578,1,1,0
18816,5002579,1,1,0
18855,5002581,1,0,1
18879,5002582,1,0,1
18900,5002583,1,1,0
18939,5002584,1,1,0
18978,5002585,1,1,0
19030,5002586,1,1,0
19057,5002587,1,1,0
19086,5002588,1,1,0
19131,5002589,1,0,1
19141,5002590,1,0,1
19153,5002591,1,1,0
19172,5002592,1,1,0
19195,5002593,1,1,0
19219,5002594,1,1,0
19247,5002595,1,1,0
19277,5002597,1,0,1
19314,5002598,1,0,1
19351,5002599,1,1,0
19408,5002601,1,1,0
19468,5002602,1,1,0
19525,5002603,1,1,0
19534,5002604,1,1,0
19559,5002605,1,0,1
19596,5002606,1,1,0
19631,5002607,1,1,0
19680,5002608,1,0,1
19684,5002609,1,1,0
19744,5002611,1,1,0
19777,5002612,1,0,1
19788,5002615,1,1,0
19838,5002616,1,0,1
19851,5002617,1,1,0
19860,5002618,1,1,0
19868,5002619,0,1,0
19904,5002620,1,1,0
19911,5002621,1,0,1
19923,5002622,1,0,1
19956,5002623,1,0,1
19963,5002624,1,0,1
19983,5002626,1,1,0
20014,5002628,1,0,1
20022,5002629,1,0,1
20033,5002630,1,1,0
20057,5002631,1,1,0
20081,5002633,1,0,1
20093,5002636,1,0,1
20128,5002637,1,0,1
20171,5002638,1,0,0
20221,5002639,1,1,0
20264,5002642,1,1,0
20299,5002644,1,1,0
20358,5002645,1,0,1
20370,5002646,1,1,0
20393,5002647,1,0,1
20406,5002649,1,0,1
20423,5002650,1,1,0
20458,5002651,1,1,0
20461,5002652,1,1,0
20468,5002653,1,1,0
20480,5002654,1,0,1
20514,5002655,1,1,0
20571,5002660,1,1,0
20604,5002661,1,0,1
20652,5002662,1,0,1
20673,5002665,1,1,0
20707,5002666,1,1,0
20736,5002667,1,0,1
20764,5002668,1,1,0
20811,5002669,1,1,0
20849,5002670,1,0,1
20862,5002671,1,0,1
20875,5002672,1,1,0
20907,5002673,1,1,0
20950,5002674,1,1,0
20984,5002675,1,0,1
21033,5002677,1,1,0
21048,5002679,1,1,0
21074,5002680,1,0,1
21094,5002683,1,1,0
21116,5002684,1,1,0
21138,5002685,1,1,0
21160,5002686,1,0,1
21168,5002687,1,1,0
21179,5002688,1,0,1
21216,5002689,1,1,0
21217,5002690,1,0,1
21228,5002691,1,1,0
21242,5002694,1,1,0
21264,5002695,1,1,0
21283,5002696,1,1,0
21293,5002697,1,0,1
21312,5002698,1,1,0
21371,5002699,1,1,0
21394,5002700,1,1,0
21404,5002701,1,1,0
21448,5002702,1,0,1
21458,5002703,1,1,0
21502,5002704,1,1,0
21542,5002705,1,1,0
21561,5002706,1,1,0
21600,5002708,1,0,1
21610,5002709,1,1,0
21653,5002710,1,0,1
21692,5002711,1,0,0
21702,5002713,1,1,0
21703,5002715,1,0,1
21715,5002716,1,0,1
21727,5002717,1,0,0
21785,5002718,1,0,1
21806,5002719,1,0,0
21831,5002720,1,0,0
21856,5002722,1,1,0
21875,5002723,1,0,1
21883,5002725,1,1,0
21885,5002727,1,1,0
21936,5002728,1,0,1
21946,5002729,1,1,0
21966,5002730,1,0,1
21973,5002731,1,0,1
22000,5002732,1,0,1
22006,5002733,1,1,0
22052,5002734,1,1,0
22099,5002735,1,1,0
22150,5002736,1,1,0
22173,5002737,1,1,0
22202,5002738,1,0,1
22226,5002739,1,0,1
22249,5002740,1,0,1
22278,5002741,1,1,0
22289,5002742,1,0,1
22296,5002743,1,1,0
22346,5002744,1,1,0
22396,5002745,1,1,0
22436,5002747,1,1,0
22465,5002749,1,1,0
22504,5002750,1,1,0
22554,5002752,1,1,0
22610,5002753,1,1,0
22666,5002754,1,1,0
22709,5002755,1,0,1
22739,5002756,1,0,1
22755,5002757,1,0,1
22787,5002758,1,1,0
22807,5002759,1,0,1
22834,5002760,1,1,0
22870,5002762,1,0,1
22906,5002763,1,0,1
22913,5002765,1,1,0
22916,5002766,1,1,0
22949,5002767,1,1,0
22980,5002768,1,0,1
22987,5002769,1,1,0
23002,5002770,1,1,0
23056,5002776,1,1,0
23070,5002779,1,1,0
23123,5002780,1,1,0
23176,5002781,1,1,0
23212,5002782,1,1,0
23252,5002783,1,1,0
23313,5002784,1,0,1
23354,5002787,1,1,0
23368,5002788,1,1,0
23382,5002789,1,0,1
23394,5002790,1,1,0
23414,5002791,1,0,1
23438,5002792,1,0,1
23463,5002793,1,1,0
23515,5002795,1,1,0
23573,5002796,1,1,0
23623,5002798,1,0,1
23663,5002799,1,1,0
23723,5002800,1,1,0
23760,5002804,1,1,0
23781,5002805,1,1,0
23842,5002806,1,1,0
23903,5002807,1,0,1
23947,5002808,1,0,0
23954,5002809,1,0,0
23991,5002810,1,0,0
24028,5002811,1,1,0
24072,5002812,1,1,0
24125,5002813,1,1,0
24186,5002814,1,1,0
24213,5002815,1,0,1
24223,5002817,1,1,0
24268,5002818,1,0,1
24277,5002819,1,1,0
24279,5002820,1,0,1
24288,5002821,1,1,0
24333,5002822,1,1,0
24391,5002825,1,1,0
24416,5002827,1,1,0
24427,5002828,1,1,0
24468,5002829,1,0,1
24479,5002830,1,1,0
24493,5002831,1,1,0
24540,5002832,1,1,0
24543,5002833,1,0,0
24561,5002837,1,0,1
24581,5002840,1,1,0
24640,5002841,1,0,1
24654,5002843,1,1,0
24713,5002844,1,1,0
24769,5002845,1,0,1
24781,5002846,1,0,1
24804,5002847,1,0,1
24828,5002848,1,1,0
24857,5002849,1,1,0
24895,5002850,1,1,0
24950,5002851,1,0,1
24976,5002852,1,0,1
24989,5002853,1,0,1
25008,5002854,1,1,0
25042,5002855,1,0,1
25046,5002856,1,0,1
25076,5002857,1,1,0
25109,5002860,1,1,0
25121,5002862,1,1,0
25163,5002863,1,1,0
25197,5002864,1,1,0
25254,5002865,1,1,0
25293,5002866,1,0,1
25319,5002867,1,1,0
25350,5002869,1,0,1
25364,5002870,1,1,0
25399,5002871,1,1,0
25421,5002872,1,1,0
25422,5002873,1,1,0
25428,5002874,1,1,0
25466,5002878,1,0,1
25504,5002879,1,1,0
25530,5002882,1,0,1
25578,5002883,1,0,1
25600,5002884,1,0,0
25608,5002886,1,1,0
25633,5002887,1,1,0
25686,5002888,1,0,1
25709,5002889,1,1,0
25761,5002890,1,1,0
25791,5002892,1,1,0
25838,5002893,1,1,0
25899,5002894,1,1,0
25957,5002895,1,1,0
26000,5002896,1,1,0
26061,5002897,1,0,1
26089,5002898,1,0,1
26093,5002899,1,0,1
26122,5002900,1,1,0
26179,5002901,1,1,0
26232,5002902,1,1,0
26288,5002903,1,0,1
26321,5002904,1,0,1
26357,5002905,1,0,1
26402,5002906,1,1,0
26455,5002909,1,1,0
26503,5002910,1,1,0
26529,5002911,1,1,0
26567,5002912,1,1,0
26569,5002913,1,1,0
26607,5002914,1,1,0
26647,5002915,0,1,0
26667,5002916,0,1,0
26693,5002917,1,0,1
26699,5002918,1,0,1
26709,5002919,1,0,1
26725,5002920,1,1,0
26753,5002921,1,0,1
26766,5002922,1,0,1
26775,5002923,1,1,0
26800,5002929,1,1,0
26830,5002930,1,1,0
26863,5002931,1,1,0
26891,5002933,1,1,0
26943,5002934,1,1,0
26995,5002935,1,1,0
27019,5002936,1,0,1
27027,5002937,1,0,1
27053,5002938,0,1,0
27064,5002939,0,1,0
27107,5002940,0,1,0
27160,5002943,0,0,1
27171,5002944,0,0,1
27195,5002945,0,0,0
27219,5002946,0,0,1
27247,5002947,0,1,0
27275,5002948,0,1,0
27312,5002949,1,0,1
27319,5002950,1,0,1
27350,5002953,1,1,0
27409,5002955,1,1,0
27446,5002956,1,1,0
27497,5002958,0,0,1
27518,5002961,1,0,1
27551,5002962,1,1,0
27577,5002963,1,1,0
27593,5002964,0,1,0
27624,5002966,1,0,1
27629,5002967,1,1,0
27641,5002968,1,1,0
27648,5002969,1,1,0
27664,5002970,1,1,0
27682,5002971,1,1,0
27702,5002972,1,1,0
27725,5002973,1,1,0
27748,5002974,1,1,0
27772,5002975,1,1,0
27800,5002976,1,1,0
27832,5002977,1,1,0
27863,5002978,1,1,0
27906,5002979,1,1,0
27951,5002981,1,1,0
27999,5002982,1,1,0
28050,5002983,1,1,0
28100,5002985,1,0,1
28105,5002986,1,0,1
28109,5002987,1,1,0
28159,5002988,1,1,0
28204,5002989,1,1,0
28245,5002990,1,1,0
28283,5002991,1,0,1
28288,5002992,0,1,0
28305,5002993,1,1,0
28333,5002994,1,1,0
28368,5002995,1,1,0
28408,5002996,1,0,1
28434,5002999,1,1,0
28479,5003000,1,0,1
28488,5003001,1,0,1
28527,5003002,1,0,1
28571,5003003,1,0,1
28586,5003006,1,0,1
28596,5003007,1,1,0
28599,5003008,1,1,0
28645,5003011,1,1,0
28683,5003012,1,1,0
28695,5003013,1,1,0
28724,5003014,1,1,0
28771,5003015,1,0,1
28790,5003016,1,0,1
28798,5003017,1,0,1
28840,5003018,1,0,1
28848,5003019,1,1,0
28888,5003020,1,1,0
28935,5003021,1,1,0
28946,5003023,1,1,0
28952,5003024,1,0,1
28965,5003025,1,1,0
28990,5003026,1,1,0
29045,5003027,1,1,0
29092,5003028,1,1,0
29141,5003029,1,1,0
29201,5003030,1,1,0
29260,5003031,1,1,0
29312,5003033,1,1,0
29364,5003034,1,1,0
29416,5003035,1,1,0
29459,5003036,1,1,0
29473,5003037,1,1,0
29487,5003038,1,1,0
29508,5003039,1,1,0
29547,5003040,1,1,0
29573,5003041,1,1,0
29596,5003042,1,1,0
29621,5003043,1,1,0
29676,5003046,1,0,1
29699,5003049,1,1,0
29737,5003050,1,1,0
29771,5003051,1,1,0
29792,5003052,1,1,0
29821,5003053,1,1,0
29861,5003054,1,0,1
29869,5003056,1,0,0
29879,5003057,1,0,1
29893,5003058,1,0,1
29900,5003059,1,1,0
29952,5003061,1,0,1
29961,5003065,1,1,0
29989,5003066,0,1,0
30021,5003067,1,1,0
30062,5003068,1,1,0
30093,5003069,1,1,0
30134,5003070,1,1,0
30189,5003073,1,1,0
30214,5003074,1,1,0
30250,5003075,1,1,0
30300,5003076,1,1,0
30356,5003079,1,0,1
30365,5003082,1,0,1
30377,5003083,1,0,1
30392,5003084,1,1,0
30437,5003086,1,0,1
30465,5003088,1,1,0
30506,5003089,1,1,0
30508,5003090,1,1,0
30510,5003091,1,1,0
30512,5003092,1,1,0
30516,5003093,1,1,0
30521,5003094,1,1,0
30528,5003095,1,1,0
30535,5003096,1,1,0
30543,5003097,1,1,0
30557,5003098,1,1,0
30558,5003099,1,1,0
