OCCUPATION_TYPE,DAYS_BIRTH_CATEGORIZED,AMT_INCOME_TOTAL_CATEGORIZED,FLAG_EMAIL,NAME_FAMILY_STATUS,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,CNT_FAM_MEMBERS_CATEGORIZED,GOOD_BAD,Unnamed: 0_x,ID,Unnamed: 0_y,NUMBER_OF_RECORDS,cumsum,Percentage
Accountants,under 40ties,high income,0,Single / not married,Incomplete higher,Working,1 person household,1,67,67,67,67,67,100.0
Accountants,under 40ties,high income,0,Single / not married,Secondary / secondary special,Commercial associate,couple,1,61,61,61,61,61,100.0
Accountants,under 40ties,high income,0,Single / not married,Secondary / secondary special,Working,1 person household,0,52,52,52,52,52,100.0
Accountants,under 40ties,high income,1,Married,Higher education,Commercial associate,2+1,0,13,13,13,13,69,18.84057971014493
Accountants,under 40ties,high income,1,Married,Higher education,Commercial associate,2+1,1,56,56,56,56,69,81.15942028985508
Accountants,under 40ties,high income,1,Married,Higher education,Working,2+1,0,153,153,153,153,354,43.22033898305085
Accountants,under 40ties,high income,1,Married,Higher education,Working,2+1,1,201,201,201,201,354,56.779661016949156
Accountants,under 40ties,high income,1,Married,Higher education,Working,2+2,0,58,58,58,58,346,16.76300578034682
Accountants,under 40ties,high income,1,Married,Higher education,Working,2+2,1,288,288,288,288,346,83.23699421965318
Accountants,under 40ties,high income,1,Married,Higher education,Working,couple,1,178,178,178,178,178,100.0
Accountants,under 40ties,high income,1,Married,Secondary / secondary special,Working,2+1,1,102,102,102,102,102,100.0
Accountants,under 40ties,high income,1,Married,Secondary / secondary special,Working,2+2,1,86,86,86,86,86,100.0
Accountants,under 40ties,high income,1,Separated,Higher education,Working,1 person household,0,16,16,16,16,103,15.53398058252427
Accountants,under 40ties,high income,1,Separated,Higher education,Working,1 person household,1,87,87,87,87,103,84.46601941747572
Accountants,under 40ties,medium income,0,Civil marriage,Higher education,Working,2+1,1,316,316,316,316,316,100.0
Accountants,under 40ties,medium income,0,Civil marriage,Secondary / secondary special,Working,couple,0,7,7,7,7,7,100.0
Accountants,under 40ties,medium income,0,Married,Higher education,Commercial associate,2+2,0,65,65,65,65,130,50.0
Accountants,under 40ties,medium income,0,Married,Higher education,Commercial associate,2+2,1,65,65,65,65,130,50.0
Accountants,under 40ties,medium income,0,Married,Higher education,Working,2+2,0,51,51,51,51,67,76.11940298507463
Accountants,under 40ties,medium income,0,Married,Higher education,Working,2+2,1,16,16,16,16,67,23.88059701492537
Accountants,under 40ties,medium income,0,Married,Higher education,Working,couple,1,50,50,50,50,50,100.0
Accountants,under 40ties,medium income,0,Married,Secondary / secondary special,Commercial associate,2+1,1,28,28,28,28,28,100.0
Accountants,under 40ties,medium income,0,Married,Secondary / secondary special,Working,2+1,1,28,28,28,28,28,100.0
Accountants,under 40ties,medium income,0,Separated,Secondary / secondary special,Working,couple,0,12,12,12,12,272,4.411764705882353
Accountants,under 40ties,medium income,0,Separated,Secondary / secondary special,Working,couple,1,260,260,260,260,272,95.58823529411765
Accountants,under 40ties,medium income,0,Single / not married,Higher education,Working,1 person household,1,24,24,24,24,24,100.0
Accountants,under 40ties,medium income,0,Single / not married,Secondary / secondary special,Working,1 person household,0,13,13,13,13,13,100.0
Accountants,under 40ties,medium income,1,Married,Higher education,Commercial associate,2+1,0,44,44,44,44,44,100.0
Accountants,under 40ties,very high income,0,Civil marriage,Higher education,Commercial associate,couple,1,95,95,95,95,95,100.0
Accountants,under 40ties,very high income,0,Civil marriage,Higher education,Working,2+1,1,51,51,51,51,51,100.0
Accountants,under 40ties,very high income,0,Civil marriage,Higher education,Working,couple,1,61,61,61,61,61,100.0
Accountants,under 40ties,very high income,0,Civil marriage,Secondary / secondary special,Commercial associate,2+1,0,51,51,51,51,167,30.538922155688624
Accountants,under 40ties,very high income,0,Civil marriage,Secondary / secondary special,Commercial associate,2+1,1,116,116,116,116,167,69.46107784431138
Accountants,under 40ties,very high income,0,Married,Higher education,Commercial associate,2+1,0,54,54,54,54,231,23.376623376623375
Accountants,under 40ties,very high income,0,Married,Higher education,Commercial associate,2+1,1,177,177,177,177,231,76.62337662337663
Accountants,under 40ties,very high income,0,Married,Higher education,Commercial associate,couple,0,139,139,139,139,253,54.9407114624506
Accountants,under 40ties,very high income,0,Married,Higher education,Commercial associate,couple,1,114,114,114,114,253,45.059288537549406
Accountants,under 40ties,very high income,0,Married,Higher education,State servant,couple,0,193,193,193,193,288,67.01388888888889
Accountants,under 40ties,very high income,0,Married,Higher education,State servant,couple,1,95,95,95,95,288,32.98611111111111
Accountants,under 40ties,very high income,0,Married,Higher education,Working,2+1,0,19,19,19,19,119,15.966386554621847
Accountants,under 40ties,very high income,0,Married,Higher education,Working,2+1,1,100,100,100,100,119,84.03361344537815
Accountants,under 40ties,very high income,0,Married,Higher education,Working,2+2,1,58,58,58,58,58,100.0
Accountants,under 40ties,very high income,0,Married,Higher education,Working,couple,0,227,227,227,227,477,47.58909853249476
Accountants,under 40ties,very high income,0,Married,Higher education,Working,couple,1,250,250,250,250,477,52.41090146750524
Accountants,under 40ties,very high income,0,Married,Incomplete higher,Commercial associate,couple,0,36,36,36,36,36,100.0
Accountants,under 40ties,very high income,0,Married,Incomplete higher,Working,2+2,0,9,9,9,9,146,6.164383561643835
Accountants,under 40ties,very high income,0,Married,Incomplete higher,Working,2+2,1,137,137,137,137,146,93.83561643835617
Accountants,under 40ties,very high income,0,Married,Secondary / secondary special,Commercial associate,big family,0,6,6,6,6,6,100.0
Accountants,under 40ties,very high income,0,Married,Secondary / secondary special,Working,2+1,1,67,67,67,67,67,100.0
Accountants,under 40ties,very high income,0,Married,Secondary / secondary special,Working,big family,0,61,61,61,61,466,13.090128755364807
Accountants,under 40ties,very high income,0,Married,Secondary / secondary special,Working,big family,1,405,405,405,405,466,86.9098712446352
Accountants,under 40ties,very high income,0,Married,Secondary / secondary special,Working,couple,1,47,47,47,47,47,100.0
Accountants,under 40ties,very high income,0,Separated,Higher education,Working,1 person household,0,35,35,35,35,35,100.0
Accountants,under 40ties,very high income,0,Separated,Secondary / secondary special,Commercial associate,couple,1,10,10,10,10,10,100.0
Accountants,under 40ties,very high income,0,Single / not married,Higher education,Commercial associate,1 person household,0,30,30,30,30,473,6.342494714587738
Accountants,under 40ties,very high income,0,Single / not married,Higher education,Commercial associate,1 person household,1,443,443,443,443,473,93.65750528541226
Accountants,under 40ties,very high income,0,Single / not married,Higher education,Commercial associate,couple,0,215,215,215,215,418,51.43540669856459
Accountants,under 40ties,very high income,0,Single / not married,Higher education,Commercial associate,couple,1,203,203,203,203,418,48.5645933014354
Accountants,under 40ties,very high income,0,Single / not married,Higher education,State servant,1 person household,0,29,29,29,29,29,100.0
Accountants,under 40ties,very high income,0,Single / not married,Higher education,Working,1 person household,0,11,11,11,11,52,21.153846153846153
Accountants,under 40ties,very high income,0,Single / not married,Higher education,Working,1 person household,1,41,41,41,41,52,78.84615384615384
Accountants,under 40ties,very high income,0,Single / not married,Incomplete higher,Commercial associate,couple,0,50,50,50,50,50,100.0
Accountants,under 40ties,very high income,0,Single / not married,Secondary / secondary special,Working,1 person household,0,12,12,12,12,75,16.0
Accountants,under 40ties,very high income,0,Single / not married,Secondary / secondary special,Working,1 person household,1,63,63,63,63,75,84.0
Accountants,under 40ties,very high income,0,Widow,Higher education,Commercial associate,couple,1,57,57,57,57,57,100.0
Accountants,under 40ties,very high income,1,Civil marriage,Higher education,Commercial associate,2+1,0,19,19,19,19,121,15.702479338842975
Accountants,under 40ties,very high income,1,Civil marriage,Higher education,Commercial associate,2+1,1,102,102,102,102,121,84.29752066115702
Accountants,under 40ties,very high income,1,Married,Higher education,Commercial associate,2+1,1,38,38,38,38,38,100.0
Accountants,under 40ties,very high income,1,Married,Higher education,Working,2+2,0,7,7,7,7,7,100.0
Accountants,under 40ties,very high income,1,Married,Higher education,Working,couple,0,32,32,32,32,246,13.008130081300814
Accountants,under 40ties,very high income,1,Married,Higher education,Working,couple,1,214,214,214,214,246,86.99186991869918
Accountants,under 40ties,very high income,1,Married,Secondary / secondary special,Commercial associate,2+1,0,15,15,15,15,58,25.862068965517242
Accountants,under 40ties,very high income,1,Married,Secondary / secondary special,Commercial associate,2+1,1,43,43,43,43,58,74.13793103448276
Accountants,under 40ties,very high income,1,Married,Secondary / secondary special,Commercial associate,couple,0,18,18,18,18,18,100.0
Accountants,under 40ties,very high income,1,Married,Secondary / secondary special,State servant,couple,0,136,136,136,136,259,52.509652509652504
Accountants,under 40ties,very high income,1,Married,Secondary / secondary special,State servant,couple,1,123,123,123,123,259,47.49034749034749
Accountants,under 40ties,very high income,1,Married,Secondary / secondary special,Working,2+1,1,16,16,16,16,16,100.0
Accountants,under 40ties,very high income,1,Separated,Incomplete higher,Commercial associate,1 person household,0,78,78,78,78,205,38.048780487804876
Accountants,under 40ties,very high income,1,Separated,Incomplete higher,Commercial associate,1 person household,1,127,127,127,127,205,61.951219512195124
Accountants,under 40ties,very high income,1,Single / not married,Higher education,Commercial associate,1 person household,1,56,56,56,56,56,100.0
Accountants,under 40ties,very high income,1,Single / not married,Higher education,State servant,1 person household,1,13,13,13,13,13,100.0
Accountants,under 40ties,very high income,1,Single / not married,Higher education,Working,1 person household,0,19,19,19,19,31,61.29032258064516
Accountants,under 40ties,very high income,1,Single / not married,Higher education,Working,1 person household,1,12,12,12,12,31,38.70967741935484
Accountants,under 40ties,very high income,1,Single / not married,Secondary / secondary special,Commercial associate,couple,0,80,80,80,80,80,100.0
Accountants,under 50ties,high income,0,Civil marriage,Higher education,Commercial associate,couple,1,70,70,70,70,70,100.0
Accountants,under 50ties,high income,0,Civil marriage,Higher education,State servant,2+1,0,6,6,6,6,30,20.0
Accountants,under 50ties,high income,0,Civil marriage,Higher education,State servant,2+1,1,24,24,24,24,30,80.0
Accountants,under 50ties,high income,0,Civil marriage,Secondary / secondary special,State servant,couple,0,56,56,56,56,69,81.15942028985508
Accountants,under 50ties,high income,0,Civil marriage,Secondary / secondary special,State servant,couple,1,13,13,13,13,69,18.84057971014493
Accountants,under 50ties,high income,0,Civil marriage,Secondary / secondary special,Working,couple,0,20,20,20,20,68,29.411764705882355
Accountants,under 50ties,high income,0,Civil marriage,Secondary / secondary special,Working,couple,1,48,48,48,48,68,70.58823529411765
Accountants,under 50ties,high income,0,Married,Higher education,Commercial associate,2+1,0,15,15,15,15,42,35.714285714285715
Accountants,under 50ties,high income,0,Married,Higher education,Commercial associate,2+1,1,27,27,27,27,42,64.28571428571429
Accountants,under 50ties,high income,0,Married,Higher education,Commercial associate,couple,0,8,8,8,8,260,3.076923076923077
Accountants,under 50ties,high income,0,Married,Higher education,Commercial associate,couple,1,252,252,252,252,260,96.92307692307692
Accountants,under 50ties,high income,0,Married,Higher education,State servant,couple,0,129,129,129,129,161,80.12422360248446
Accountants,under 50ties,high income,0,Married,Higher education,State servant,couple,1,32,32,32,32,161,19.875776397515526
Accountants,under 50ties,high income,0,Married,Higher education,Working,2+1,1,59,59,59,59,59,100.0
Accountants,under 50ties,high income,0,Married,Higher education,Working,2+2,0,23,23,23,23,70,32.857142857142854
Accountants,under 50ties,high income,0,Married,Higher education,Working,2+2,1,47,47,47,47,70,67.14285714285714
Accountants,under 50ties,high income,0,Married,Higher education,Working,couple,0,104,104,104,104,104,100.0
Accountants,under 50ties,high income,0,Married,Secondary / secondary special,Commercial associate,2+1,0,7,7,7,7,19,36.84210526315789
Accountants,under 50ties,high income,0,Married,Secondary / secondary special,Commercial associate,2+1,1,12,12,12,12,19,63.1578947368421
Accountants,under 50ties,high income,0,Married,Secondary / secondary special,Commercial associate,couple,0,78,78,78,78,427,18.26697892271663
Accountants,under 50ties,high income,0,Married,Secondary / secondary special,Commercial associate,couple,1,349,349,349,349,427,81.73302107728337
Accountants,under 50ties,high income,0,Married,Secondary / secondary special,Working,2+1,1,56,56,56,56,56,100.0
Accountants,under 50ties,high income,0,Married,Secondary / secondary special,Working,couple,0,266,266,266,266,995,26.733668341708544
Accountants,under 50ties,high income,0,Married,Secondary / secondary special,Working,couple,1,729,729,729,729,995,73.26633165829146
Accountants,under 50ties,high income,0,Separated,Higher education,Commercial associate,couple,1,86,86,86,86,86,100.0
Accountants,under 50ties,high income,0,Separated,Higher education,Working,1 person household,1,46,46,46,46,46,100.0
Accountants,under 50ties,high income,0,Single / not married,Incomplete higher,Commercial associate,1 person household,0,18,18,18,18,397,4.534005037783375
Accountants,under 50ties,high income,0,Single / not married,Incomplete higher,Commercial associate,1 person household,1,379,379,379,379,397,95.46599496221663
Accountants,under 50ties,high income,0,Single / not married,Secondary / secondary special,Commercial associate,1 person household,0,14,14,14,14,14,100.0
Accountants,under 50ties,high income,0,Single / not married,Secondary / secondary special,Commercial associate,couple,0,8,8,8,8,8,100.0
Accountants,under 50ties,high income,0,Widow,Secondary / secondary special,Working,1 person household,0,58,58,58,58,203,28.57142857142857
Accountants,under 50ties,high income,0,Widow,Secondary / secondary special,Working,1 person household,1,145,145,145,145,203,71.42857142857143
Accountants,under 50ties,high income,1,Married,Secondary / secondary special,State servant,couple,0,8,8,8,8,9,88.88888888888889
Accountants,under 50ties,high income,1,Married,Secondary / secondary special,State servant,couple,1,1,1,1,1,9,11.11111111111111
Accountants,under 50ties,medium income,0,Civil marriage,Secondary / secondary special,Working,2+1,1,160,160,160,160,160,100.0
Accountants,under 50ties,medium income,0,Married,Secondary / secondary special,Commercial associate,2+2,1,120,120,120,120,120,100.0
Accountants,under 50ties,very high income,0,Civil marriage,Higher education,Commercial associate,couple,1,100,100,100,100,100,100.0
Accountants,under 50ties,very high income,0,Married,Higher education,Commercial associate,2+1,0,63,63,63,63,91,69.23076923076923
Accountants,under 50ties,very high income,0,Married,Higher education,Commercial associate,2+1,1,28,28,28,28,91,30.76923076923077
Accountants,under 50ties,very high income,0,Married,Higher education,Commercial associate,2+2,1,97,97,97,97,97,100.0
Accountants,under 50ties,very high income,0,Married,Higher education,Commercial associate,couple,0,58,58,58,58,475,12.210526315789473
Accountants,under 50ties,very high income,0,Married,Higher education,Commercial associate,couple,1,417,417,417,417,475,87.78947368421053
Accountants,under 50ties,very high income,0,Married,Higher education,Pensioner,couple,1,26,26,26,26,26,100.0
Accountants,under 50ties,very high income,0,Married,Higher education,Working,2+1,0,8,8,8,8,51,15.686274509803921
Accountants,under 50ties,very high income,0,Married,Higher education,Working,2+1,1,43,43,43,43,51,84.31372549019608
Accountants,under 50ties,very high income,0,Married,Higher education,Working,couple,0,91,91,91,91,420,21.666666666666668
Accountants,under 50ties,very high income,0,Married,Higher education,Working,couple,1,329,329,329,329,420,78.33333333333333
Accountants,under 50ties,very high income,0,Married,Incomplete higher,Working,2+1,0,84,84,84,84,180,46.666666666666664
Accountants,under 50ties,very high income,0,Married,Incomplete higher,Working,2+1,1,96,96,96,96,180,53.333333333333336
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Commercial associate,2+1,0,22,22,22,22,168,13.095238095238097
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Commercial associate,2+1,1,146,146,146,146,168,86.90476190476191
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Commercial associate,2+2,0,20,20,20,20,20,100.0
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Commercial associate,couple,0,85,85,85,85,323,26.31578947368421
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Commercial associate,couple,1,238,238,238,238,323,73.68421052631578
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Working,2+2,1,12,12,12,12,12,100.0
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Working,couple,0,10,10,10,10,49,20.408163265306122
Accountants,under 50ties,very high income,0,Married,Secondary / secondary special,Working,couple,1,39,39,39,39,49,79.59183673469387
Accountants,under 50ties,very high income,0,Separated,Higher education,Commercial associate,1 person household,0,10,10,10,10,258,3.875968992248062
Accountants,under 50ties,very high income,0,Separated,Higher education,Commercial associate,1 person household,1,248,248,248,248,258,96.12403100775194
Accountants,under 50ties,very high income,0,Widow,Higher education,Commercial associate,1 person household,1,35,35,35,35,35,100.0
Accountants,under 50ties,very high income,1,Civil marriage,Higher education,State servant,couple,1,15,15,15,15,15,100.0
Accountants,under 50ties,very high income,1,Civil marriage,Higher education,Working,couple,1,29,29,29,29,29,100.0
Accountants,under 50ties,very high income,1,Married,Higher education,Commercial associate,couple,0,33,33,33,33,33,100.0
Accountants,under 50ties,very high income,1,Married,Higher education,Working,couple,0,49,49,49,49,108,45.370370370370374
Accountants,under 50ties,very high income,1,Married,Higher education,Working,couple,1,59,59,59,59,108,54.629629629629626
Accountants,under 50ties,very high income,1,Married,Incomplete higher,Commercial associate,couple,1,137,137,137,137,137,100.0
Accountants,under 60ties,high income,0,Civil marriage,Secondary / secondary special,Commercial associate,couple,0,39,39,39,39,39,100.0
Accountants,under 60ties,high income,0,Married,Higher education,Commercial associate,couple,0,35,35,35,35,259,13.513513513513514
